PETERS_SST_SPG_data-MEAN-- YEAR(linear_forcing)--- INTEGRATED_CWG_FROM_1871--- CWG---- NORTH_HEMISPH_TEMP_HADCRUT----
-0.12881013275 1949 -10.315787154317482 0.789778756521768 -0.068
-0.008724703483333332 1950 -9.965019157047525 0.350767997269956 -0.191
0.1905747159583333 1951 -10.129859101153832 -0.164839944106307 0.054
0.22180180506666666 1952 -10.468561374295545 -0.338702273141713 0.07
0.185096941 1953 -10.439923256830092 0.0286381174654527 0.207
0.24048012833333332 1954 -10.996430853846027 -0.556507597015936 -0.031
0.3819470916666667 1955 -11.508984842712028 -0.512553988866002 -0.126
0.3376530466666667 1956 -12.022037301870261 -0.513052459158234 -0.279
-0.024338857549999995 1957 -11.415629343966533 0.606407957903729 -0.036
0.01564739 1958 -10.482923975351408 0.932705368615124 0.083
-0.1663270126666667 1959 -10.260659004489396 0.222264970862013 0.047
-0.04967787498583334 1960 -10.697993104700538 -0.437334100211143 0.0
